ID_REF,GSM1583224,GSM1583225,GSM1583226,GSM1583227,GSM1583228,GSM1583229,GSM1583230,GSM1583231,GSM1583232,GSM1583233,GSM1583234,GSM1583235,GSM1583236
49,2.335623024,2.302335427,2.302335427,2.302335427,2.302346874,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
50,4.06952644,3.999757169,4.209676507,4.157315118,3.971916274,3.919776035,3.957319095,3.733333028,4.228456575,3.967775647,4.326892147,4.18793514,4.009115139
51,5.589626161,5.4269466,5.33646814,5.740337598,5.561959172,5.667983152,5.576961671,5.436137428,5.65057896,5.432127979,5.447638185,5.283657016,5.839753431
52,6.656717757,6.632320823,6.543338454,6.966582202,6.734285222,6.769997296,6.866724383,6.45768945,6.83965062,6.375125813,6.64694273,6.246637589,6.456291111
53,2.606715314,2.606715314,2.543599643,2.829635605,2.554623299,2.955938511,3.383627077,2.543599643,3.04235468,2.606715314,2.752650071,2.750982218,2.886957018
54,2.473700777,2.458790501,2.473700777,2.743559909,2.302335427,2.39395294,2.713981698,2.458790501,3.552193036,3.853549031,2.413181607,2.473700777,6.385588927
55,3.497677767,3.693924604,3.150544758,3.566238441,3.739485598,3.568605509,3.487954168,3.535904045,3.772184377,3.349464537,3.745851411,3.427773661,3.534802377
56,2.302335427,2.346473251,2.311887796,2.308336803,2.309308645,2.302335427,2.311999295,2.302335427,2.304239977,2.302335427,2.302335427,2.302335427,2.302335427
58,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
59,3.129812422,3.0660551,2.822186743,2.930910669,2.895006297,2.929988535,2.8384221,3.04265355,2.960309451,2.846421869,2.844378296,2.788777453,3.04059628
60,12.36197792,12.28000262,12.31518408,12.18516251,12.03920641,12.24962307,12.3376557,12.07139383,12.4364133,12.39606734,12.38371174,12.14130158,12.57484527
70,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
72,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
81,8.360228243,8.60291941,8.440108565,8.251311749,8.144127576,8.60585518,8.894944806,8.17927053,8.426108549,8.38113959,9.546685981,8.209838597,9.029061454
86,5.061560853,4.976752083,5.475082195,5.21233592,4.83468536,5.141628493,4.710163398,5.362841087,5.303024326,5.156523841,5.187261986,5.07079576,5.055526686
87,4.911568801,5.125738279,5.12940283,4.965684336,4.987582803,4.774763048,4.966906491,4.838255723,5.057683638,5.103495404,4.992597911,4.476532099,5.121518596
88,2.305042686,2.30376818,2.365009322,2.302335427,2.302338884,2.302335427,2.302335427,2.302335427,2.303279068,2.302335427,2.302335427,2.302335427,2.302335427
89,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
90,5.466138782,5.34668043,5.514462943,5.466138782,5.254772818,5.73732427,5.515885506,5.466138782,5.569259115,5.580080636,5.225218751,5.597185298,5.832778832
91,5.126260796,5.227639356,4.743643214,4.749000938,5.833572485,4.747557946,4.833105509,5.577275268,4.894002481,4.864934856,4.905689828,4.676297148,4.8415263
